gene	p_val	log2FC	pct.1	pct.2	padj
KLRC1	1.01488600308125e-09	1.77618122821066	0.213	0.006	2.12415640444906e-05
HLA-DQA2	1.82681084961024e-11	1.59386117128621	0.475	0.118	3.82351510823423e-07
GNA15	2.98751082222396e-08	1.50121828619088	0.177	0.006	0.000625286015091474
PELI1	5.02458436675083e-09	1.29540182707216	0.496	0.18	0.000105164550796095
HLA-DRB5	8.12303069832446e-15	1.20989976082282	0.73	0.422	1.70015032515931e-10
DUSP4	7.73498326209193e-13	1.16702038674931	0.73	0.342	1.61893199675584e-08
TOB1	1.16196097567199e-06	1.04499532447806	0.461	0.242	0.0243198432208148
HLA-DRA	3.94712489111681e-11	0.888496500683867	0.816	0.491	8.26133239710749e-07
ADGRE5	7.94769442172245e-09	0.854978901998826	0.723	0.491	0.000166345244246651
CD7	1.15383592593294e-07	0.657022341976425	0.809	0.634	0.00241497859297765
HLA-DRB1	4.06350630145024e-08	0.630452580246069	0.844	0.646	0.000850491868893534
GAPDH	7.38792110305546e-19	0.471460555421529	0.993	0.969	1.54629188686951e-14
CD74	4.53589035540974e-14	0.424171823037183	0.993	0.925	9.49361851387259e-10
UBC	7.56386640647049e-09	0.343290850866248	0.979	0.981	0.000158311723887427
EIF1	5.12868913649026e-08	0.257969629926315	0.986	0.988	0.00107343463626741
ITM2B	1.79020994019234e-06	-0.610008225156856	0.532	0.752	0.0374690940482257
MT-ND4L	2.7102787048274e-07	-0.653428939740489	0.61	0.801	0.00567261332920375
PLAAT4	6.81373405034156e-07	-0.778801135813853	0.397	0.658	0.0142611453673649
RPS2	3.29534504395242e-10	-0.823554120985482	0.574	0.77	6.89715717699242e-06
DUSP1	2.21524319040299e-09	-0.90825773764406	0.447	0.733	4.63650399751345e-05
LCK	9.19119651713204e-07	-0.926472974614821	0.262	0.54	0.0192371743103574
PSMB10	2.194797069664e-06	-0.990922874081711	0.213	0.46	0.0459371026680675
PTGDR	1.16032751874546e-06	-1.00451137045077	0	0.112	0.0242856549673425
SCML4	3.15441385114042e-07	-1.32300115808659	0.014	0.161	0.00660218819043689
GIMAP7	8.22070080647347e-08	-1.32456234354465	0.121	0.373	0.0017205926787949
RPS2P5	7.03517489637468e-11	-1.42611857114903	0.191	0.509	1.47246210581122e-06
GIMAP4	1.60446090593899e-09	-1.4891877171239	0.113	0.41	3.3581366761303e-05
FCRL6	3.92400437324610e-09	-1.53711286673548	0.014	0.224	8.21294115320408e-05
KLRG1	3.50392296175539e-08	-1.56147372194508	0.007	0.174	0.000733371075895403
ENSG00000213058	3.87704404029736e-10	-1.56187631595419	0	0.18	8.11465317634236e-06
PYHIN1	3.02261981215753e-09	-1.57002064396211	0.028	0.255	6.3263432668457e-05
FGFBP2	1.16032744265415e-06	-1.7600050237231	0	0.112	0.0242856533747513
