gene	p_val	log2FC	pct.1	pct.2	padj
KIR2DL4	6.5564196550515e-20	2.40035144982129	0.422	0.032	1.2983022200933e-15
MTCO1P12	7.19704204820667e-23	2.38954778033415	0.389	0.019	1.42515826638589e-18
TRGV9	2.38964637508092e-16	2.07739198724938	0.411	0.085	4.73197775193524e-12
HLA-H	2.40360191269293e-15	1.98925182039128	0.289	0.019	4.75961250751455e-11
KRT86	2.36048912373583e-11	1.95015323972157	0.311	0.058	4.6742405628217e-07
AREG	2.33065639420271e-14	1.81650531741042	0.533	0.167	4.61516579180021e-10
ENSG00000228509	5.89279926324986e-11	1.75415694544291	0.344	0.088	1.16689211010874e-06
KIR3DL2	2.81240122092125e-09	1.73831170469855	0.133	0.003	5.56911689766827e-05
TYROBP	5.24171638177971e-09	1.71795752841293	0.278	0.095	0.000103796467792002
TNFRSF9	1.19028826929695e-09	1.6042570612023	0.322	0.069	2.35700883086182e-05
HLA-DQA2	1.984606659388e-09	1.59330691688914	0.189	0.011	3.92991810692012e-05
H1-10	2.02348577817623e-10	1.56044826947007	0.333	0.077	4.00690653794458e-06
ENSG00000275063	1.61727642125189e-10	1.5330980556337	0.133	0	3.202530769363e-06
AHI1	8.94609738960522e-11	1.44192762355348	0.433	0.133	1.77150620508963e-06
LAG3	6.89087405659507e-15	1.42936350432508	0.644	0.276	1.36453088068696e-10
TPGS1	2.97073244867052e-10	1.389805680873	0.167	0.011	5.88264439485737e-06
NCR1	1.10726421156161e-07	1.36843266061021	0.222	0.04	0.00219260459173431
CXCL13	1.1327666787421e-09	1.32468091457201	0.522	0.255	2.2431045772451e-05
GADD45G	6.75500759844962e-07	1.31946607410646	0.256	0.072	0.0133762660464499
BASP1	5.43840557900135e-08	1.26832053414558	0.144	0.013	0.00107691307275385
MMP12	1.08012645644823e-08	1.25768290928405	0.122	0.003	0.000213886640905879
JCHAIN	2.87617457111445e-07	1.24916117350834	0.111	0.005	0.00569540088572083
SFPQ	1.85074496588343e-11	1.21950618938052	0.567	0.276	3.66484518144237e-07
MTATP6P1	1.58115439060599e-14	1.21261257462971	0.689	0.387	3.13100192427798e-10
TSHZ2	4.41728515800454e-10	1.20026278866537	0.133	0.003	8.74710806988059e-06
ZNF331	1.38037100150057e-07	1.12372167671604	0.5	0.255	0.00273341065717142
CREM	1.59761551673995e-08	1.07352793513756	0.556	0.292	0.000316359824624845
CITED2	2.24897356464589e-10	1.07159484999811	0.689	0.377	4.45341745271179e-06
TIGIT	7.49081308499419e-08	1.05159837798276	0.511	0.263	0.00148333080709055
ENSG00000277856	3.52549170236224e-08	1.03044020785717	0.1	0	0.00069811786690177
ARF6	8.37143578700678e-08	1.01264031548934	0.478	0.263	0.00165771171454308
NR4A2	5.47584009295053e-10	1.00650673430074	0.667	0.419	1.08432585520606e-05
PNRC1	3.24956167130857e-20	0.95762576795356	0.911	0.679	6.43478202152522e-16
DUSP4	5.80664244989599e-09	0.955025578737339	0.667	0.411	0.00011498313379284
RPS2P5	4.31621973242471e-07	0.775037429171022	0.667	0.454	0.00854697831414741
KLRD1	4.62272381830374e-07	0.770295906755409	0.744	0.43	0.00915391770500507
FYN	1.22345733839774e-06	0.738651603818712	0.656	0.446	0.0242269022149521
CYBA	3.1568582017737e-10	0.720133536333091	0.789	0.626	6.25121061115228e-06
CD7	2.92525742001073e-22	0.616170958015691	0.978	0.865	5.79259474310525e-18
ZFP36L2	4.99119632469009e-11	0.609715226134117	0.922	0.782	9.88356696215131e-07
NKG7	1.30276492121721e-08	0.591838480176018	0.956	0.7	0.000257973509699431
BTG1	4.01218362114659e-09	0.446681386181133	0.956	0.87	7.94492600659447e-05
DUSP1	1.50473685521807e-06	0.428008316945852	0.956	0.83	0.0297967992070282
UBB	1.42976150955803e-06	0.406986392842993	0.922	0.817	0.0283121374122682
RPS2	1.42299528994702e-06	0.340192471320392	0.956	0.87	0.0281781527315309
RPS26	4.46196249635208e-10	0.2531622159425	1	0.968	8.83557813527639e-06
B2M	2.27982751743428e-06	-0.0705813026903197	1	1	0.0451451445002337
TMSB4X	5.96844517751804e-07	-0.132163848551649	1	1	0.0118187151405212
ARHGDIB	7.02203387447739e-08	-0.389293411457809	0.889	0.944	0.00139050314782401
MT-ATP6	4.93423082389154e-09	-0.440122707478499	0.878	0.966	9.77076387747002e-05
CD52	7.5741041850506e-10	-0.488194096855158	0.889	0.944	1.49982411072372e-05
VIM	1.19602553224023e-10	-0.520324381043109	0.867	0.955	2.36836975894211e-06
LAPTM5	6.59685314793106e-09	-0.538883662748786	0.744	0.91	0.000130630886035331
LCP1	6.29616012670009e-07	-0.576715835282634	0.633	0.836	0.0124676562828915
S100A4	2.13869599939622e-11	-0.577901924419021	0.778	0.958	4.2350458180044e-07
S100A6	1.2855518486839e-08	-0.612273418401643	0.644	0.881	0.000254564977076386
ITM2B	6.59753889796951e-08	-0.667605572876052	0.611	0.812	0.00130644465257592
CD2	1.56237196212191e-15	-0.845732423448141	0.678	0.907	3.09380895939381e-11
NFKBIA	1.16297767420788e-13	-0.854389759689481	0.678	0.902	2.30292839046644e-09
CAPG	8.56347651101221e-07	-0.986773307948339	0.356	0.557	0.0169573961871064
SLC2A3	5.21653193296227e-08	-1.03025823012466	0.333	0.607	0.00103297765336519
EMP3	5.81662497113509e-08	-1.11498712909655	0.244	0.546	0.00115180807678417
CTSW	5.25004025914875e-12	-1.22323536096831	0.278	0.719	1.03961297211664e-07
